abandon	abandon [ə'bændən] (動) 放棄；拋棄
practicable	practicable [præktɪkəbəl] (形) 可行的；可實行的
practical	practical ['præktɪkəl] (形) 實用的；實際的
practically	practically ['præktɪkli] (副) 幾乎；實際上
practice	practice ['præktɪs] (名) 練習；實踐　(動) 練習；實行
practise	practise ['præktɪs] (動) 練習；實行
practitioner	practitioner [præk'tɪʃənɚ] (名) 從業者；執業者
pragmatic	pragmatic [præg'mætɪk] (形) 務實的；實用的
pragmatism	pragmatism ['prægməˌtɪzəm] (名) 實用主義；務實態度
prairie	prairie ['prɛri] (名) 大草原；牧場
praise	praise [preɪz] (動) 稱讚；表揚　(名) 讚揚；讚美
praiseworthy	praiseworthy ['prez.wɝ.ði] (形) 值得讚揚的；值得稱讚的
prance	prance [præns] (動) 騰躍；昂首闊步
prank	prank [præŋk] (名) 惡作劇；玩笑　(動) 捉弄；整人
prankster	prankster ['præŋkstɚ] (名) 惡作劇者；愛開玩笑的人
prawn	prawn [prɔn] (名) 草蝦；明蝦
pray	pray [preɪ] (動) 祈禱；祈求
prayer	prayer [prɛr] (名) 祈禱；禱告
preach	preach [pritʃ] (動) 宣揚；講道
precarious	precarious [prɪ'kɛrɪəs] (形) 不穩定的；危險的
precaution	precaution [prɪ'kɔʃən] (名) 預防措施；預防
precede	precede [prɪ'sid] (動) 在...之前發生；領先
precedence	precedence ['prɛsədəns] (名) 優先權；優先地位
precedent	precedent ['prɛsədənt] (名) 先例；前例
preceding	preceding [prɪ'sidɪŋ] (形) 在前的；在先的
precious	precious ['prɛʃəs] (形) 珍貴的；寶貴的
precipice	precipice ['prɛsəpɪs] (名) 懸崖；絕境
precipitate	precipitate (動) [prɪ'sɪpəˌtet] 促成；使突然發生　(名) [prɪ'sɪpətɪt] 沉澱物
precipitation	precipitation [prɪˌsɪpɪ'teʃən] (名) 降水；沉澱
precise	precise [prɪ'saɪs] (形) 精確的；明確的
precisely	precisely [prɪ'saɪslɪ] (副) 精確地；確切地
precision	precision [prɪ'sɪʒən] (名) 精確；精確度
preclude	preclude [prɪ'klud] (動) 阻止；妨礙
preconception	preconception [prikən'sɛpʃən] (名) 偏見；先入為主的觀念
precycling	precycling [pri'saɪklɪŋ] (動) 預先回收（在購買前減少包裝浪費的行為）
predator	predator ['prɛdətɚ] (名) 掠食者；捕食者
predecessor	predecessor ['prɛdəˌsɛsɚ] (名) 前任；前輩
predicament	predicament [prɪ'dɪkəmənt] (名) 困境；窘境
predicate	predicate (名) [`prɛdɪkɪt] 謂語；斷言　(動) [`prɛdɪˌket] 斷言；基於
predict	predict [prɪ'dɪkt] (動) 預測；預報
predictability	predictability [prɪˌdɪktə'bɪlɪti] (名) 可預測性；可預見性
predictable	predictable [prɪ'dɪktəbəl] (形) 可預測的；平淡無奇的
prediction	prediction [prɪ'dɪkʃən] (名) 預測；預言
predictive	predictive [prɪ'dɪktɪv] (形) 預測的；預示的
predispose	predispose [prɪdɪ'spoʊz] (動) 使易於；使有…傾向
predisposition	predisposition [ˌpridɪspə'zɪʃən] (名) 傾向；素質
predominant	predominant [prɪ'dɑmənənt] (形) 主要的；占優勢的
predominantly	predominantly [prɪ'dɑmənəntli] (副) 主要地；佔優勢地
predominately	predominately [prɪ'dɑmənɪtli] (副) 主要地；佔優勢地
preeminence	preeminence [pri'ɛmənəns] (名) 卓越；傑出
preeminent	preeminent [pri'ɛmənənt] (形) 卓越的；傑出的
preen	preen [prin] (動) 打扮；自滿
prefabricate	prefabricate [pri'fæbrɪ.keɪt] (動) 預製；預先建造
preface	preface ['prɛfɪs] (名) 序言；前言
prefecture	prefecture [prɪ'fɛktʃɚ] (名) 縣；轄區
prefer	prefer [prɪ'fɝ] (動) 偏好；更喜歡
preferable	preferable ['prɛfərəbəl] (形) 更可取的；更好的
preferably	preferably ['prɛfərəbli] (副) 最好；更理想地
preference	preference ['prɛfərəns] (名) 偏好；偏愛
pregnancy	pregnancy ['prɛgnənsi] (名) 懷孕；妊娠期
pregnant	pregnant ['prɛgnənt] (形) 懷孕的
preheat	preheat [pri'hit] (動) 預先加熱；預熱
prehistoric	prehistoric [ˌprihɪs'tɔrɪk] (形) 史前的
prejudice	prejudice (名) [ˈprɛdʒədɪs] 偏見；歧視　(動) [prɪˈdʒɛdɪs] 使有偏見；損害
preliminary	preliminary [prɪ'lɪməˌnɛri] (形) 初步的；預備的
prelude	prelude ['prɛljud] (名) 序幕；前奏
premature	premature [ˌprimə'tʃʊr] (形) 過早的；早產的
premeditate	premeditate [pri'mɛdəˌtet] (動) 預謀；預先策劃
premeditated	premeditated [prɪ'mɛdəˌtetɪd] (形) 預謀的；事先策劃的
premeditation	premeditation [prɪˌmɛdə'teʃən] (名) 預謀；預先策劃
premier	premier [prɪ'mɪr] (名) 總理；首相
premiere	premiere [prɪ'mɪr] (名) 首映；初次公演　(動) 首次公演；首次上演
premise	premise ['prɛmɪs] (名) 前提；假定
premises	premises ['prɛmɪsɪz] (名) 場所；房屋連地基
premium	premium ['pri.mi.əm] (名) 保費；獎金　(形) 高級的；優質的
prenatal	prenatal [pri'neɪtəl] (形) 產前的；孕期的
preoccupation	preoccupation [priˌɑkjə'peʃən] (名) 專注；全神貫注
preoccupy	preoccupy [pri'ɑkjəˌpaɪ] (動) 使專注；使忙於
prepaid	prepaid [pri'ped] (形) 預付的；預付費的
preparation	preparation [ˌprɛpə'reʃən] (名) 準備；預備
prepare	prepare [prɪ'pɛr] (動) 準備；預備
prepared	prepared [prɪ'pɛrd] (動) 準備；預備　(形) 準備好的
preparedness	preparedness [prɪ'pɛrɪdnɛs] (名) 準備；防備
preposition	preposition [ˌprɛpə'zɪʃən] (名) 介系詞；前置詞
preposterous	preposterous [prɪ'pɑstərəs] (形) 荒謬的；可笑的
prerequisite	prerequisite [pri'rɛkwɪzɪt] (名) 先決條件；必備條件
prescient	prescient [prɪ'ʃaɪənt] (形) 有先見之明的；預知性的
prescribe	prescribe [prɪ'skraɪb] (動) 開（藥方）；規定
prescription	prescription [prɪ'skrɪpʃən] (名) 處方；藥方
presence	presence ['prɛzns] (名) 出席；存在
present	present [prɪ'zɛnt] (動) 呈現；展示
presentation	presentation [ˌprɛzən'teʃən] (名) 簡報；報告
presently	presently ['prɛzntli] (副) 目前；不久
preservation	preservation [ˌprɛzɚ'veɪʃən] (名) 保存；保護
preservative	preservative [prɪ'zɝvətɪv] (名) 防腐劑　(形) 防腐的
preserve	preserve [prɪ'zɝv] (動) 保存；保護
preside	preside [prɪ'zaɪd] (動) 主持；擔任主席
presidency	presidency ['prɛzədənsi] (名) 總統任期；總統職位
president-elect	president-elect ['prɛzədənt ɪ'lɛkt] (名) 總統當選人
president	president ['prɛzɪdənt] (名) 總統；會長；校長
presidential	presidential [prɛzə'dɛnʃəl] (形) 總統的；總統制的
press	press [prɛs] (動) 按；壓　(名) 報紙；新聞界
pressing	pressing ['prɛsɪŋ] (形) 緊迫的；迫切的
pressure	pressure ['prɛʃɚ] (名) 壓力；壓迫
prestige	prestige [prɛs'tiʒ] (名) 聲望；威信
prestigious	prestigious [prɛs'tɪdʒəs] (形) 有聲望的； prestigious
presumably	presumably [prɪ'zuməbli] (副) 想必；大概
presume	presume [prɪ'zum] (動) 假定；推測
presumption	presumption [prɪ'zʌmpʃən] (名) 假設；推測
pretend	pretend [prɪ'tɛnd] (動) 假裝；偽裝
pretentious	pretentious [prɪ'tɛnʃəs] (形) 矯揉造作的；自命不凡的
pretext	pretext ['pritekst] (名) 藉口；託詞
pretty	pretty ['prɪti] (形) 漂亮的；相當的　(副) 相當地
prevail	prevail [prɪ'vel] (動) 戰勝；盛行
prevailing	prevailing [prɪ'velɪŋ] (形) 盛行的；普遍的
prevalence	prevalence ['prɛvələns] (名) 流行；普遍
prevalent	prevalent ['prɛvələnt] (形) 普遍的；流行的
prevent	prevent [prɪ'vɛnt] (動) 預防；阻止
prevention	prevention [prɪ'vɛnʃən] (名) 預防；防止
preventive	preventive [prɪ'vɛntɪv] (形) 預防的；防止的
preview	preview [pri'vju] (動) 預習；預覽
previous	previous ['priviəs] (形) 先前的；以往的
previously	previously ['priviəsli] (副) 先前；以前
prey	prey [preɪ] (名) 獵物；犧牲者　(動) 捕食；折磨
prhibitively	prhibitively [pro'hɪbɪtɪvli] (副) 令人卻步地；過高地
price	price [praɪs] (名) 價格；代價　(動) 定價；標價
priceless	priceless ['praɪsləs] (形) 無價的；極珍貴的
pricey	pricey ['praɪsi] (形) 昂貴的；價格高的
prick	prick [prɪk] (動) 刺；戳　(名) 刺；刺痛
prickle	prickle [prɪkl] (名) 刺痛感；刺
prickly	prickly ['prɪkli] (形) 多刺的；易怒的
pride	pride [praɪd] (名) 驕傲；自尊　(動) 以...自豪
priest	priest [prist] (名) 牧師；神父
primacy	primacy ['praɪməsi] (名) 首要；主導地位
primarily	primarily ['praɪˌmɛrɪli] (副) 主要地；首要地
primary	primary ['praɪˌmɛri] (形) 主要的；初級的
prime	prime [praɪm] (形) 主要的；首要的　(名) 全盛時期；最佳部分　(動) 使準備好
primer	primer ['praɪmɚ] (名) 底漆；入門書
primitive	primitive ['prɪmɪtɪv] (形) 原始的；早期的
primordial	primordial [praɪ'mɔrdiəl] (形) 原始的；最初的
prince	prince [prɪns] (名) 王子
princess	princess ['prɪnsɪs] (名) 公主
principal	principal ['prɪnsəpəl] (名) 校長；（形）主要的
principally	principally ['prɪnsəpli] (副) 主要地；首要地
principle	principle ['prɪnsəpəl] (名) 原則；原理
print	print [prɪnt] (動) 列印；印刷　(名) 印刷品；指紋
printer	printer ['prɪntɚ] (名) 印表機；印刷機
prior	prior [praɪɚ] (形) 先前的；較早的　(副) 在前；居先
prioritize	prioritize [praɪ'ɔrəˌtaɪz] (動) 優先處理；優先考慮
priority	priority [praɪ'ɔrəti] (名) 優先；優先事項
prison	prison ['prɪzn] (名) 監獄
prisoner	prisoner ['prɪznɚ] (名) 囚犯；犯人
pristine	pristine [prɪ'stin] (形) 原始的；純淨的
privacy	privacy ['praɪvəsɪ] (名) 隱私；私密
private	private ['praɪvɪt] (形) 私人的；私有的
privately	privately [praɪvɪtli] (副) 私下地；秘密地
privatize	privatize [praɪvə'taɪz] (動) 使私有化；將……民營化
privilege	privilege ['prɪvlɪdʒ] (名) 特權；優待　(動) 給予特權
privileged	privileged ['prɪvəlɪdʒd] (形) 有特權的；享有特權的
prize	prize [praɪz] (名) 獎品；獎金　(動) 珍視；珍惜
pro	pro [proʊ] (名) 專家；職業選手
proactive	proactive [pro'æktɪv] (形) 主動的；積極的
probability	probability [ˌprɑbə'bɪləti] (名) 機率；可能性
probable	probable ['prɑbəbəl] (形) 可能的
probably	probably ['prɑbəbli] (副) 很可能；大概
probe	probe [proʊb] (動) 探究；探測　(名) 探針；調查
probiotic	probiotic [ˌprobaɪ'ɑtɪk] (名) 益生菌　(形) 益生菌的
probity	probity ['proʊbəti] (名) 誠信；正直
proble	proble [prɑbl] (名) 問題；難題
problem	problem [prɑbləm] (名) 問題；難題
problematic	problematic [prɑblə'mætɪk] (形) 有問題的；可疑的
problematical	problematical [prə'blɛmətɪkəl] (形) 有問題的；可疑的
proboscis	proboscis [pro'bɑsɪs] (名) 喙；長鼻
procedure	procedure [prə'sidʒɚ] (名) 程序；步驟
proceed	proceed [prə'sid] (動) 繼續進行；前進
proceeding	proceeding [prə'sidɪŋ] (名) 程序；進程
proceeds	proceeds ['proʊˌsidz] (名) 收益；收入
process	process (名) [prɑsɛs] 過程；流程　(動) [prəsɛs] 處理；加工
procession	procession [prə'sɛʃən] (名) 隊伍；行列
processor	processor ['prɑsɛsɚ] (名) 處理器；中央處理器
proclaim	proclaim [prə'klem] (動) 宣布；聲明
procrastinate	procrastinate [pro'kræstəˌnet] (動) 拖延；耽擱
procrastinator	procrastinator [pro'kræstəˌnetɚ] (名) 拖延者；做事拖拉的人
procreate	procreate [proʊ'krieɪt] (動) 生育；創作
procreation	procreation [prokri'eʃən] (名) 生育；繁衍
procreative	procreative [pro'krieɪtɪv] (形) 生育的；生殖的
proctor	proctor ['prɑktɚ] (名) 監考人員；監考者
procure	procure [prə'kjʊr] (動) 取得；設法獲得
prodigious	prodigious [prə'dɪdʒəs] (形) 驚人的；巨大的
prodigy	prodigy ['prɑdədʒɪ] (名) 天才；奇才
produce	produce (動) [prə'djus] 生產；製造　(名) ['prɑdjus] 農產品
producer	producer [prə'djusɚ] (名) 製作人；生產者
product	product ['prɑdəkt] (名) 產品；產物
production	production [prə'dʌkʃən] (名) 生產；產量
productive	productive [prə'dʌktɪv] (形) 生產的；有成效的
productively	productively [prə'dʌktɪvli] (副) 有成效地；高效地
productivity	productivity [ˌprɑdʌk'tɪvəti] (名) 生產力；工作效率
profane	profane [prə'fen] (形) 褻瀆的；不敬的
profess	profess [prə'fɛs] (動) 聲稱；自稱；表明
profession	profession [prə'fɛʃən] (名) 職業；專業
professional	professional [prə'fɛʃənəl] (形) 專業的；職業的　(名) 專業人士
professionalism	professionalism [prə'fɛʃənəlɪzəm] (名) 專業精神；專業素養
professor	professor [prə'fɛsɚ] (名) 教授
proficiency	proficiency [prə'fɪʃənsi] (名) 熟練；精通
proficient	proficient [prə'fɪʃənt] (形) 熟練的；精通的
profile	profile ['profaɪl] (名) 簡歷；側面輪廓　(動) 概述；描繪輪廓
profit	profit ['prɑfɪt] (名) 利潤；利益　(動) 獲利；有益於
profitable	profitable ['prɑfɪtəbəl] (形) 有利可圖的；有益的
profitably	profitably ['prɑfɪtəbli] (副) 有利可圖地；獲利地
profound	profound [prə'faʊnd] (形) 深刻的；深遠的
profoundly	profoundly [prə'faʊndli] (副) 深刻地；深深地
profuse	profuse [prə'fjus] (形) 大量的；充沛的
profusely	profusely [prə'fjuslɪ] (副) 極度地；大量地
profusion	profusion [prə'fjuʒən] (名) 大量；豐富
prognosis	prognosis [prɑg'nosɪs] (名) 預後；預測
program	program ['progræm] (名) 節目；課程　(動) 規劃；編程
programer	programer ['progræmɚ] (名) 程式設計師；程式員
progress	progress (名) [`prɑgrɛs] 進步；進展　(動) [prə`grɛs] 前進；進展
progressive	progressive [prə'grɛsɪv] (形) 進步的；漸進的
progressively	progressively [prə'grɛsɪvli] (副) 逐漸地；越來越
prohibit	prohibit [prə'hɪbɪtɪd] (動) 禁止；阻止
prohibition	prohibition [ˌprohɪ'bɪʃən] (名) 禁止；禁令
prohibitive	prohibitive [pro'hɪbɪtɪv] (形) 昂貴得令人卻步的；禁止的
project	project (名) [ˈprɑdʒɛkt] 專題；方案　(動) [prəˈdʒɛkt] 投射；計劃
projection	projection [prə'dʒɛkʃən] (名) 預測；投射
projector	projector [prə'dʒɛktɚ] (名) 投影機；放映機
proliferate	proliferate [prə'lɪfəˌret] (動) 擴散；激增
proliferation	proliferation [prəˌlɪfə'reʃən] (名) 擴散；激增
prolific	prolific [prə'lɪfɪk] (形) 多產的；作品豐富的
prolong	prolong [prə'lɔŋ] (動) 延長；拉長
prolonged	prolonged [prə'lɔŋd] (形) 長期的；持續很久的
prom	prom [prɑm] (名) 舞會；畢業舞會
Prometheus	Prometheus ['proməθjus] (名) 普羅米修斯（希臘神話中盜火給人類的泰坦）
prominence	prominence ['prɑmənəns] (名) 顯著；突出
prominent	prominent ['prɑmənənt] (形) 突出的；顯眼的
prominently	prominently ['prɑmənəntlɪ] (副) 顯著地；突出地
promiscuous	promiscuous [prə'mɪskjuəs] (形) 混亂的；濫交的
promise	promise ['prɑmɪs] (名) 承諾；諾言　(動) 承諾；保證
promising	promising ['prɑmɪsɪŋ] (形) 有前途的；有希望的
promote	promote [prə'mot] (動) 促進；推銷
promotion	promotion [prə'moʃən] (名) 晉升；推廣
prompt	prompt [prɑmpt] (形) 迅速的；即時的　(動) 促使；提示
prompter	prompter ['prɑmptɚ] (名) 提詞員；提示器
promptly	promptly ['prɑmptli] (副) 迅速地；立即地；準時地
prone	prone [pron] (形) 易於……的；有……傾向的
pronoun	pronoun ['pronaʊn] (名) 代名詞
pronounce	pronounce [prə'naʊns] (動) 發音；宣稱
pronounced	pronounced [prə'naʊnst] (形) 明顯的；顯著的
pronunciation	pronunciation [prəˌnʌnsi'eʃən] (名) 發音；讀音
proof	proof [pruf] (名) 證據；證明
proofread	proofread [pruf'rid] (動) 校對；校訂
prop	prop [prɑp] (動) 支撐；支持
propaganda	propaganda [ˌprɑpə'gændə] (名) 宣傳；鼓吹
propagate	propagate ['prɑpəˌget] (動) 傳播；繁殖
propane	propane [pro'pen] (名) 丙烷
propel	propel [prə'pɛl] (動) 推進；驅動
propeller	propeller [prə'pɛlɚ] (名) 螺旋槳；推進器
proper	proper ['prɑpɚ] (形) 適當的；正確的
properly	properly ['prɑpɚli] (副) 適當地；妥善地
property	property ['prɑpɚti] (名) 財產；房產；性質
prophecy	prophecy [prə'fɛsi] (名) 預言；預言能力
prophesy	prophesy [prə'fɛsaɪ] (動) 預言；預示
prophet	prophet ['prɑfɪt] (名) 先知；預言者
prophetic	prophetic [prə'fɛtɪk] (形) 預言的；預示性的
propitious	propitious [prə'pɪʃəs] (形) 吉利的；有利的
proponent	proponent [prə'ponənt] (名) 支持者；提倡者
proportion	proportion [prə'pɔrʃən] (名) 比例；部分
proportional	proportional [prə'pɔrʃənəl] (形) 成比例的；相稱的
proposal	proposal [prə'pozl] (名) 提議；提案
propose	propose [prə'poz] (動) 提議；求婚
proposition	proposition (名) [ˌprɑpəˈzɪʃən] 提議；命題　(動) [prəˈpɑzɪʃən] 向…提議；求歡
proprietor	proprietor [prə'praɪətɚ] (名) 業主；店主
propulsion	propulsion [prə'pʌlʃən] (名) 推進；推進力
prose	prose [proʊz] (名) 散文
prosecute	prosecute ['prɑsəˌkjut] (動) 起訴；告發
prosecution	prosecution [ˌprɑsɪ'kjuʃən] (名) 起訴；檢方
prosecutor	prosecutor ['prɑsəˌkjutɚ] (名) 檢察官；起訴人
prosopagnosia	prosopagnosia [ˌprɑsəpæɡ'noʒə] (名) 臉盲症；面孔失認症
prospect	prospect ['prɑspɛkt] (名) 前景；可能性　(動) 探勘；尋找
prospective	prospective [prə'spɛktɪv] (形) 未來的；預期的
prospectus	prospectus [prə'spɛktəs] (名) 簡章；計畫書
prosper	prosper ['prɑspɚ] (動) 繁榮；成功
prosperity	prosperity [prɑs'pɛrəti] (名) 繁榮；興旺
prosperous	prosperous ['prɑspərəs] (形) 繁榮的；興旺的
prostate	prostate ['prɑsteɪt] (名) 前列腺
prostheses	prostheses [prɑs'θisiz] (名) 義肢；人工器官
prosthesis	prosthesis [prɑs'θisɪs] (名) 義肢；假體
prostitute	prostitute ['prɑstəˌtut] (名) 妓女；娼妓　(動) 賣淫；濫用（才能）
prostitution	prostitution [prɑstə'tjuʃən] (名) 賣淫；嫖娼
protect	protect [prə'tɛkt] (動) 保護；防護
protection	protection [prə'tɛkʃən] (名) 保護；防護
protective	protective [prə'tɛktɪv] (形) 保護的；愛護的
protege	protege ['pro.tə.ʒe] (名) 門徒；受保護者
protein	protein ['protiɪn] (名) 蛋白質
protest	protest (名) [`protɛst] 抗議；反對　(動) [prə`tɛst] 抗議；反對
proton	proton ['pro.tɑn] (名) 質子
prototype	prototype ['proʊtəˌtaɪp] (名) 原型；樣品
prototyping	prototyping ['proʊtəˌtaɪpɪŋ] (動) 製作原型
proud	proud [praʊd] (形) 驕傲的；自豪的
prove	prove [pruv] (動) 證明；證實
proverb	proverb ['prɑvɚb] (名) 諺語；格言
provide	provide [prə'vaɪd] (動) 提供；供應
provided	provided [prə'vaɪdɪd] (連) 假如；只要
province	province ['prɑvɪns] (名) 省份；省
provincial	provincial [prə'vɪnʃəl] (形) 省的；地方的；偏狹的
provision	provision [prə'vɪʒən] (名) 準備；供應
provisional	provisional [prə'vɪʒənəl] (形) 臨時的；暫定的
provisionally	provisionally [prə'vɪʒənəli] (副) 暫時地；臨時地
provocation	provocation [ˌprɑvə'keʃən] (名) 挑釁；激怒
provocative	provocative [prə'vɑkətɪv] (形) 挑釁的；引起爭論的
provoke	provoke [prə'vok] (動) 激怒；引起
provoking	provoking [prə'vokɪŋ] (動) 引發；激起
provokingly	provokingly [prə'vokɪŋli] (副) 挑釁地；挑逗地
prowess	prowess ['praʊɪs] (名) 卓越的技藝；非凡的才能
prowl	prowl [praʊl] (動) 潛行；徘徊
proximate	proximate ['prɑksɪmɪt] (形) 近的；近似的
proximity	proximity [prɑk'sɪmətɪ] (名) 接近；鄰近
proxy	proxy ['prɑksi] (名) 代理人；委託書
prudence	prudence ['prudns] (名) 謹慎；小心
prudent	prudent ['prudənt] (形) 謹慎的；精明的
prudently	prudently ['prudəntli] (副) 謹慎地；慎重地
prune	prune [prun] (動) 修剪；刪除
pruny	pruny ['pruni] (形) 起皺的；皺巴巴的
pry	pry [praɪ] (動) 窺探；打聽
psychiatric	psychiatric [ˌsaɪki'ætrɪk] (形) 精神科的；精神病學的
psychiatrist	psychiatrist [saɪ'kaɪətrɪst] (名) 精神科醫師；精神病學家
psychiatry	psychiatry [saɪ'kaɪətri] (名) 精神病學
psychic	psychic [saɪkɪk] (名) 靈媒；通靈者　(形) 心靈的；超自然的
psychical	psychical [saɪ'kaɪɪkəl] (形) 心理的；心靈的
psycho	psycho ['saɪkoʊ] (名) 精神病患者；驚悚片名
psychological	psychological [ˌsaɪkə'lɑdʒɪkəl] (形) 心理的；心理學的
psychologically	psychologically [ˌsaɪkə'lɑdʒɪkli] (副) 心理上；心理方面
psychologist	psychologist [saɪ'kɑlədʒɪst] (名) 心理學家
psychology	psychology [saɪ'kɑlədʒi] (名) 心理學
PTSD	PTSD [ˌpi ti ɛs 'di] (名) 創傷後壓力症候群
pub	pub [pʌb] (名) 酒吧；酒館
puberty	puberty ['pjubɚti] (名) 青春期
public	public ['pʌblɪk] (形) 公眾的；公共的　(名) 公眾；民眾
publication	publication [ˌpʌblɪ'keʃən] (名) 出版；出版物
publicity	publicity [pʌb'lɪsəti] (名) 宣傳；公開
publicize	publicize ['pʌblɪˌsaɪz] (動) 宣傳；公布
publicly	publicly ['pʌblɪkli] (副) 公開地；當眾
publish	publish ['pʌblɪʃ] (動) 出版；刊登
publisher	publisher ['pʌblɪʃɚ] (名) 出版商；出版社
pucker	pucker ['pʌkɚ] (動) 皺起；噘起
pudding	pudding ['pʊdɪŋ] (名) 布丁
pudgy	pudgy ['pʌdʒi] (形) 胖嘟嘟的；矮胖的
puff	puff [pʌf] (動) 吹氣；噴出　(名) 一陣（風、煙等）
pug	pug [pʌg] (名) 巴哥犬；哈巴狗
pull	pull [pʊl] (動) 拉；拖
pulp	pulp [pʌlp] (名) 果肉；紙漿　(動) 將…製成紙漿
pulse	pulse [pʌls] (名) 脈搏；脈衝　(動) 搏動；跳動
pulverize	pulverize ['pʌlvəraɪz] (動) 粉碎；摧毀
pump	pump [pʌmp] (名) 泵；打氣筒　(動) 抽水；打氣
pump	pump [pʌmp] (動) 抽水；打氣　(名) 泵；打氣筒
pumpkin	pumpkin ['pʌmpkɪn] (名) 南瓜
punch	punch [pʌntʃ] (名) 重拳；打擊　(動) 用拳猛擊；打孔
punctual	punctual ['pʌŋktʃuəl] (形) 準時的；守時的
punctuality	punctuality [pʌŋktʃu'ælɪti] (名) 準時；守時
punctually	punctually ['pʌŋktʃuəli] (副) 準時地；如期地
puncture	puncture [pʌŋktʃɚ] (動) 刺破；刺穿　(名) 刺孔；小洞
pungent	pungent ['pʌndʒənt] (形) 刺鼻的；辛辣的
punish	punish ['pʌnɪʃ] (動) 懲罰；處罰
punishment	punishment ['pʌnɪʃmənt] (名) 懲罰；處罰
punitive	punitive ['pjunətɪv] (形) 懲罰的；懲戒性的
punk	punk [pʌŋk] (名) 龐克；龐克音樂　(形) 龐克風格的
pup	pup [pʌp] (名) 小狗；幼犬
pupil	pupil ['pjupəl] (名) 學生；瞳孔
puppet	puppet ['pʌpɪt] (名) 傀儡；木偶
puppy	puppy ['pʌpi] (名) 小狗
purchase	purchase ['pɝtʃəs] (動) 購買
pure	pure [pjʊr] (形) 純淨的；純粹的
puree	puree [pju're] (名) 泥；糊
purely	purely ['pjʊrli] (副) 純粹地；完全地
purge	purge [pɝdʒ] (動) 清除；肅清
purification	purification [pjʊrəfə'keʃən] (名) 淨化；純化
purify	purify ['pjʊrəfaɪ] (動) 淨化；純化
purity	purity ['pjʊrəti] (名) 純淨；純度
purple	purple ['pɝpl] (名) 紫色　(形) 紫色的
purport	purport [pɝ'pɔrt] (名) 意圖；主旨
purpose	purpose ['pɝpəs] (名) 目的；用途
purposeful	purposeful ['pɝpəsfəl] (形) 有目的的；堅定的
purposefully	purposefully ['pɝpəsfli] (副) 故意地；有目的地
purposely	purposely ['pɝpəsli] (副) 故意地；特意地
purse	purse [pɝs] (名) 錢包；手提包
pursue	pursue [pɚ'su] (動) 追求；追趕
pursuit	pursuit [pɚ'sjut] (名) 追求；追尋
purveyor	purveyor [pɚ'veɪɚ] (名) 供應商；提供者
pus	pus [pʌs] (名) 膿；膿液
push	push [pʊʃ] (動) 推；催促
pushcart	pushcart [pʊʃ.kɑrt] (名) 推車；手推車
pushover	pushover ['pʊʃˌovɚ] (名) 容易打敗的人或事物；簡單的事
pussy	pussy ['pʊsi] (名) 貓咪
put-down	put-down ['pʊt.daʊn] (名) 貶低；奚落
put	put [pʊt] (動) 放置；放
putt	putt [pʌt] (名) 推桿；輕擊球
puzzle	puzzle [pʌzl] (動) 使困惑；使為難　(名) 謎；難題
puzzled	puzzled [pʌzld] (形) 困惑的；迷惑的
pyramid	pyramid ['pɪrəmɪd] (名) 金字塔
pyramid	pyramid ['pɪrəmɪd] (名) 金字塔；角錐體
pyre	pyre [paɪr] (名) 火葬柴堆；大堆可燃物
quack	quack [kwæk] (名) 鴨叫聲；(動) 發出鴨叫聲
quadruple	quadruple [kwɑ'drʊpəl] (動) 使成四倍；翻兩番　(形) 四倍的
quaint	quaint [kwent] (形) 古雅的；奇特而有趣的
quake	quake [kweɪk] (動) 顫抖；發抖
qualification	qualification [ˌkwɑləfə'keʃən] (名) 資格；學歷
qualified	qualified ['kwɑləfaɪd] (動) 有資格；合格　(形) 合格的；有資格的
qualifier	qualifier ['kwɑləfaɪɚ] (名) 資格者；合格者
qualify	qualify ['kwɑləˌfaɪ] (動) 使有資格；符合資格
qualitative	qualitative ['kwɑlətetɪv] (形) 質性的；性質上的
quality	quality ['kwɑlɪti] (名) 品質；質量　(形) 優質的
quantify	quantify ['kwɑntəˌfaɪ] (動) 量化；測量
quantitative	quantitative ['kwɑntəˌtetɪv] (形) 數量的；量化的
quantity	quantity ['kwɑntəti] (名) 數量；大量
quantity	quantity ['kwɑntəti] (名) 數量；大量
quantum	quantum ['kwɑntəm] (名) 量子；(形) 量子的
quarantine	quarantine ['kwɔrənˌtin] (名) 隔離；檢疫　(動) 隔離；使孤立
quarrel	quarrel ['kwɔrəl] (動) 爭吵；吵架
quarrelsome	quarrelsome ['kwɔrəlsəm] (形) 愛爭吵的；好辯的
quart	quart [kwɔrt] (名) 夸脫（容量單位）
quarter	quarter ['kwɔrtɚ] (名) 四分之一；一刻鐘；一季
quarterly	quarterly ['kwɔrtɚli] (形) 每季的；季度的　(副) 每季地；按季地
quartet	quartet [kwɔr'tɛt] (名) 四重奏；四重唱
quartz	quartz [kwɔrts] (名) 石英
queen	queen [kwin] (名) 女王；王后
queer	queer [kwɪr] (形) 奇怪的；不舒服的
quench	quench [kwɛntʃ] (動) 解（渴）；熄滅
query	query ['kwɪri] (名) 疑問；查詢　(動) 詢問；質疑
quest	quest [kwɛst] (名) 追尋；探索
question	question ['kwɛstʃən] (名) 問題；疑問　(動) 質疑；詢問
questionnaire	questionnaire [ˌkwɛstʃən'ɛr] (名) 問卷調查；問卷
questionnarire	questionnarire [ˌkwɛstʃə'nɛr] (名) 問卷；調查表
